融资买入额,融资余额,融券卖出量,融券余量,融券余额,融资融券余额
406.7,7947.39,0.84,33.69,592.91,8540.31
317.82,7890.86,0.83,33.59,583.85,8474.71
363.06,7984.52,0.83,34.2,585.99,8570.51
337.69,8031.43,0.97,34.49,600.46,8631.89
482.94,8050.46,1.27,34.54,603.16,8653.62
452.71,8106.99,1.53,34.47,606.46,8713.45
473.29,8147.04,1.41,34.11,608.04,8755.08
429.3,8140.1,1.0,33.62,598.63,8738.73
500.25,8113.17,1.15,33.66,607.73,8720.9
438.08,7433.74,0.92,27.42,554.91,7988.65
494.04,7442.18,0.99,27.23,550.44,7992.62
643.02,7471.34,1.16,27.13,566.63,8037.98
570.27,7449.44,0.92,26.99,561.09,8010.53
585.99,7449.92,1.28,27.11,563.22,8013.14
442.8,7416.5,1.46,26.55,547.74,7964.24
498.73,7402.0,0.94,25.78,530.75,7932.76
515.41,7394.33,1.1,26.1,540.67,7935.01
483.19,7349.29,1.0,26.05,536.5,7885.79
554.74,7359.29,1.14,26.11,538.52,7897.82
659.79,7377.76,1.01,25.76,546.11,7923.88
586.48,7376.95,1.08,26.07,556.51,7933.47
619.4,7354.77,1.0,26.62,553.22,7907.99
559.05,7336.09,0.94,27.0,563.57,7899.66
614.91,7349.99,1.19,27.17,562.46,7912.46
571.09,7315.78,0.87,26.93,546.58,7862.36
653.51,7290.8,1.16,26.83,542.02,7832.82
635.79,7252.3,1.14,26.63,523.3,7775.61
441.19,7136.57,1.25,26.44,513.28,7649.85
401.24,7143.58,1.07,25.92,503.02,7646.61
367.85,7129.62,1.02,25.55,488.75,7618.37
385.3,7165.79,1.15,25.31,488.91,7654.71
370.94,7155.61,0.96,24.84,482.74,7638.35
396.86,7167.54,1.16,24.61,476.21,7643.75
440.38,7161.31,0.95,24.04,469.65,7630.97
447.28,7142.12,1.09,23.62,455.98,7598.11
419.46,7140.13,0.69,23.14,454.62,7594.75
340.64,7124.63,1.09,23.06,447.29,7571.92
343.32,7116.85,0.8,22.5,442.23,7559.08
291.99,7102.5,0.85,22.37,434.2,7536.71
300.8,7105.76,0.83,22.01,424.04,7529.81
283.66,7110.41,0.58,21.83,418.92,7529.34
310.21,7102.79,0.55,21.62,411.26,7514.06
279.93,7129.51,0.56,21.63,414.22,7543.74
365.08,7146.46,0.65,21.71,414.15,7560.62
309.52,7160.92,0.72,21.59,420.82,7581.75
353.53,7171.55,0.71,21.67,421.69,7593.24
332.71,7148.36,0.76,21.9,428.4,7576.77
392.97,7161.56,0.98,22.05,430.27,7591.83
439.91,7165.31,0.78,22.94,441.8,7607.11
421.05,7133.32,0.79,23.35,442.91,7576.24
427.24,7101.21,0.88,23.74,439.5,7540.71
295.1,7089.65,0.85,23.86,442.09,7531.75
307.3,7123.89,0.65,23.68,438.19,7562.08
389.31,7143.07,0.67,23.79,438.6,7581.67
393.17,7136.31,0.54,23.82,446.98,7583.29
453.23,7115.07,0.79,24.2,455.69,7570.76
332.5,7073.7,0.74,24.28,454.6,7528.31
334.75,7084.57,0.83,24.22,453.08,7537.66
